1.2.840.10008.5.1.4.1.1.9.1.1|12-Lead ECG Waveform Storage.def
1.2.840.10008.5.1.4.1.1.5|Nuclear Medicine Image Storage - Retired.def
1.2.840.10008.5.1.4.1.1.77.1.5.1|Ophthalmic Photography 8 Bit Image Storage.def
1.2.840.10008.5.1.4.1.1.77.1.5.2|Ophthalmic Photography 16 Bit Image Storage.def
1.2.840.10008.5.1.4.1.1.77.1.5.4|Ophthalmic Tomography Image Storage.def
1.2.840.10008.5.1.4.1.2.1.1|Patient Root Query-Retrieve Information Model - Find.def
1.2.840.10008.5.1.4.1.2.1.3|Patient Root Query-Retrieve Information Model - Get.def
1.2.840.10008.5.1.4.1.2.1.2|Patient Root Query-Retrieve Information Model - Move.def
1.2.840.10008.5.1.4.1.2.3.1|Patient-Study Only Query-Retrieve Information Model - Find.def
1.2.840.10008.5.1.4.1.2.3.3|Patient-Study Only Query-Retrieve Information Model - Get.def
1.2.840.10008.5.1.4.1.2.3.2|Patient-Study Only Query-Retrieve Information Model - Move.def
1.2.840.10008.5.1.4.1.2.2.1|Study Root Query-Retrieve Information Model - Find.def
1.2.840.10008.5.1.4.1.2.2.3|Study Root Query-Retrieve Information Model - Get.def
1.2.840.10008.5.1.4.1.2.2.2|Study Root Query-Retrieve Information Model - Move.def
1.2.840.10008.5.1.4.1.1.128|Positron Emission Tomography Image Storage.def
1.2.840.10008.5.1.1.23|Presentation LUT.def
1.2.840.10008.5.1.1.16|Printer.def
1.2.840.10008.5.1.1.16.376|Printer Configuration Retrieval.def
1.2.840.10008.5.1.1.14|Print Job.def
1.2.840.10008.5.1.1.26|Print Queue Management.def
1.2.840.10008.1.40|Procedural Event Logging.def
1.2.840.10008.5.1.4.1.1.88.40|Procedure Log.def
1.2.840.10008.5.1.4.1.1.11.3|Pseudo-Color Softcopy Presentation State Storage.def
1.2.840.10008.5.1.1.31|Pull Print Request.def
1.2.840.10008.5.1.1.32|Pull Stored Print Management Meta.def
1.2.840.10008.5.1.4.1.1.66|Raw Data Storage.def
1.2.840.10008.5.1.4.1.1.67|Real World Value Mapping Storage.def
1.2.840.10008.5.1.1.4.2|Referenced Image Box - Retired.def
1.2.840.10008.5.1.4.1.1.481.4|RT Beams Treatment Record Storage.def
1.2.840.10008.5.1.4.1.1.481.6|RT Brachy Treatment Record Storage.def
1.2.840.10008.5.1.4.1.1.481.2|RT Dose Storage.def
1.2.840.10008.5.1.4.1.1.481.1|RT Image Storage.def
1.2.840.10008.5.1.4.1.1.481.9|RT Ion Beams Treatment Record Storage.def
1.2.840.10008.5.1.4.1.1.481.8|RT Ion Plan Storage.def
1.2.840.10008.5.1.4.1.1.481.5|RT Plan Storage.def
1.2.840.10008.5.1.4.1.1.481.3|RT Structure Set Storage.def
1.2.840.10008.5.1.4.1.1.481.7|RT Treatment Summary Record Storage.def
1.2.840.10008.5.1.4.1.1.7|Secondary Capture Image Storage.def
1.2.840.10008.5.1.4.1.1.66.4|Segmentation Storage.def
1.2.840.10008.5.1.4.1.1.11.1|Softcopy Presentation State Storage.def
1.2.840.10008.5.1.4.1.1.66.2|Spatial Fiducials Storage.def
1.2.840.10008.5.1.4.1.1.66.1|Spatial Registration Storage.def
1.2.840.10008.5.1.4.1.1.78.6|Spectacle Prescription Report Storage.def
1.2.840.10008.5.1.4.1.1.9|Standalone Curve Storage - Retired.def
1.2.840.10008.5.1.4.1.1.10|Standalone Modality LUT Storage - Retired.def
1.2.840.10008.5.1.4.1.1.8|Standalone Overlay Storage - Retired.def
1.2.840.10008.5.1.4.1.1.129|Standalone PET Curve Storage - Retired.def
1.2.840.10008.5.1.4.1.1.11|Standalone VOI LUT Storage - Retired.def
1.2.840.10008.5.1.4.1.1.77.1.5.3|Stereometric Relationship Storage.def
1.2.840.10008.1.20.2|Storage Commitment Pull Model.def
1.2.840.10008.1.20.1|Storage Commitment Push Model.def
1.2.840.10008.5.1.1.27|Stored Print Storage.def
1.2.840.10008.3.1.2.3.2|Study Component Management.def
1.2.840.10008.5.1.4.1.1.78.4|Subjective Refraction Measurements Storage.def
1.2.840.10008.5.1.4.42|Substance Approval Query Information Model - Find.def
1.2.840.10008.5.1.4.1.1.66.5|Surface Segmentation Storage.def
1.2.840.10008.5.1.4.1.1.6.1|Ultrasound Image Storage.def
1.2.840.10008.5.1.4.1.1.6|Ultrasound Image Storage - Retired.def
1.2.840.10008.5.1.4.1.1.3.1|Ultrasound Multi-Frame Image Storage.def
1.2.840.10008.5.1.4.1.1.3|Ultrasound Multi-Frame Image Storage - Retired.def
1.2.840.10008.5.1.4.34.4.3|Unified Procedure Step - Pull.def
1.2.840.10008.5.1.4.34.4.1|Unified Procedure Step - Push.def
1.2.840.10008.1.1|Verification.def
1.2.840.10008.5.1.4.1.1.77.1.1.1|Video Endoscopic Image Storage.def
1.2.840.10008.5.1.4.1.1.77.1.2.1|Video Microscopic Image Storage.def
1.2.840.10008.5.1.4.1.1.77.1.4.1|Video Photographic Image Storage.def
1.2.840.10008.5.1.4.1.1.78.5|Visual Acuity Measurements Storage.def
1.2.840.10008.5.1.4.1.1.77.1.1|VL Endoscopic Image Storage.def
1.2.840.10008.5.1.4.1.1.77.1|VL Image Storage - Retired.def
1.2.840.10008.5.1.4.1.1.77.1.2|VL Microscopic Image Storage.def
1.2.840.10008.5.1.4.1.1.77.2|VL Multi-frame Image Storage - Retired.def
1.2.840.10008.5.1.4.1.1.77.1.4|VL Photographic Image Storage.def
1.2.840.10008.5.1.4.1.1.77.1.3|VL Slide-Coordinates Microscopic Image Storage.def
1.2.840.10008.5.1.1.22|VOI LUT Box.def
1.2.840.10008.5.1.4.1.1.11.5|XA-XRF Grayscale Softcopy Presentation State Storage.def
1.2.840.10008.5.1.4.1.1.13.1.1|X-Ray 3D Angiographic Image Storage.def
1.2.840.10008.5.1.4.1.1.13.1.2|X-Ray 3D Craniofacial Image Storage.def
1.2.840.10008.5.1.4.1.1.12.3|X-Ray Angiographic Bi-Plane Image Storage - Retired.def
1.2.840.10008.5.1.4.1.1.12.1|X-Ray Angiographic Image Storage.def
1.2.840.10008.5.1.4.1.1.88.67|X-Ray Radiation Dose SR.def
1.2.840.10008.5.1.4.1.1.12.2|X-Ray Radiofluoroscopic Image Storage.def
